收录日期,每日排名,评分,标题,链接,来源名称,原文内容,AI分类,AI理由,人工审核,发布顺序
2025-12-18,12,50.0,金杜助力中国五矿成功发行 12 亿美元永续证券,https://mp.weixin.qq.com/s/WsMiacRIjIEuS5cmLAoWHA,金杜研究院,"中国五矿集团有限公司近日完成 **12 亿美元**次级担保永续证券的发行，其中 6 亿美元为 3.5 年不可赎回，另外 6 亿美元为 5 年不可赎回。作为以金属矿产为主业的国有重要骨干企业，中国五矿业务遍及全球 60 多个国家和地区，涵盖金属矿产、冶金建设、科技产业等多个领域。

金杜律师事务所在此次交易中担任联席牵头经办人的香港法律顾问，由周浩和岳嵩律师牵头负责。周浩是金杜香港办公室管理合伙人及债券资本市场业务主管，岳嵩则拥有丰富的国际债券发行经验。**“周律师被主要国际法律名录一致认可为资本市场领域的领先律师”**，体现了金杜团队在债券发行领域的专业地位。

此次交易延续了金杜在 2025 年参与的多项中国金融机构及央企重大债券发行项目，包括中国能源建设、中国长江三峡集团等企业的债券发行。**“多项由岳律师主办的交易曾入围债务和股票挂钩或高收益债券的「年度最佳交易」奖项”**，显示出金杜在复杂债券发行领域的丰富经验。

作为国有资本投资公司试点企业，中国五矿此次成功发行永续证券，既展现了央企在国际资本市场的融资能力，也体现了专业法律服务机构在跨境金融交易中的关键作用。金杜团队通过提供香港法律顾问服务，再次验证了其在支持中国企业海外融资方面的专业实力。",一般,内容聚焦跨境债券发行法律服务，虽涉及法律机构专业能力，但法律科技关联度较低。,垃圾,
2025-12-18,12,44.0,胡润智榜私享会探讨企业法律服务新趋势,https://mp.weixin.qq.com/s/xqEhtiFrj-0ZUr1Hj3GlNQ,智合,"2025 年 12 月 17 日，胡润智榜在上海总部举办首期法商融合私享会。胡润先生与来自全球 500 强、独角兽企业的总裁、法务负责人，以及 25 位律师代表展开对话，共同探讨法律服务的新方向。**“法律的尽头，是商业的星辰大海。”**这句话成为活动的核心主题。

胡润在开场致辞中强调，财富流动与法律服务密不可分。他提出，胡润智榜旨在构建一个透明、有影响力的评价体系，让优质律师和企业需求被看见。智合合伙人聂佳彤则指出，法律行业需要更多专业化与市场化，推动企业与法律人之间的信任共生。

活动中发布的《2025 中国高净值人群法律服务新需求》报告显示，企业家对律师的需求已从传统合规转向商业战略支持。圆桌讨论环节聚焦企业为何愿意为法律服务支付溢价，多位企业家分享了外部律师在关键战役中的价值。

胡润智榜评审顾问委员会正式成立，未来将确保评选的专业性和市场相关性。活动还设置了“企业家痛点抽签答疑”环节，律师与企业代表直接对话，解决实际问题。**“未来十年，能够真正理解并服务好企业家需求的律师，将站在法律价值链的顶端。”**胡润在总结中如此展望。

此次活动不仅是思想交流的平台，也标志着胡润智榜从榜单向生态平台的升级。通过连接商业与法律，胡润智榜希望推动行业标准提升，助力律师品牌建设。",推荐,聚焦法律服务创新与法商融合，内容具有行业洞察和实践参考价值，契合法律科技从业者关注。,垃圾,
2025-12-18,13,54.0,建设工程施工合同变更的法定与约定边界,https://mp.weixin.qq.com/s/S3glezPPxegRQgHXd8MGWA,金杜研究院,"建设工程施工合同履行过程中，工程范围、设计方案等调整常导致工程量、工期、价款变化。变更范围通常包括工程内容增减、质量标准调整、施工计划修改等，这些变更原则上可依据合同进行。

《示范文本》明确列举了五类典型变更情形，为实务操作提供了参考框架。**“发包人可以直接向施工单位下达工程变更的指令，而不限于必须遵照合同约定”**。这一观点打破了“变更必须基于合同约定”的传统认知。

实践中，施工单位根据实际情况提出变更申请，经发包人同意后即可实施变更。但是，施工单位擅自变更工程设计的权利受到严格限制。《建筑法》第五十八条对此有明文禁止。特殊情况下施工单位可单方变更合同：一是合同明确授予单方变更权时；二是发包人虽未明确同意但通过行为默示认可时。**“乙公司并无证据证明其曾在施工过程中就此向甲公司提出异议，在庭审中乙公司亦认可施工过程中对此知情并默认”**，最高法这一判例确立了**默示认可**的裁判规则。情势变更原则的适用门槛较高，材料价格波动等常见风险通常不被认定为情势变更。

合同变更需注意两大风险点：一是招投标项目要避免实质性变更影响合同效力；二是施工单位需完整保存变更证据链。从最高法多个判例可见，未能举证证明变更程序合规是败诉主因。建议采用签证单等书面形式固定变更合意，避免事后争议。",一般,内容聚焦施工合同变更的法律问题，法律科技相关性较弱，缺乏技术或创新应用维度。,垃圾,
2025-12-18,15,53.0,广东律所集体投诉德恒律所 343 名律师,https://mp.weixin.qq.com/s/mgno4pcNh8l2t7wly8EkLQ,红鲤鱼的江湖,"广东恒薇霖泽律师事务所于 12 月 15 日正式向深圳市司法局提交投诉，要求对北京德恒（深圳）律师事务所全体 343 名执业律师进行行政处罚。

投诉内容明确要求对涉事律师进行警告处分，并将处罚决定录入律师档案，同时在司法局官网公示。

投诉文件中未具体说明投诉原因，但一次性针对全体律师的投诉在业内实属罕见。**""请深圳市司法局对北京德恒（深圳）律师事务所全体 343 名执业律师予以 「警告」 行政处罚""**这一措辞显示出投诉方的强烈诉求。

目前深圳市司法局尚未对此投诉作出公开回应。

德恒律师事务所作为国内知名律所，此次被集体投诉可能引发行业关注。若投诉成立，将创下国内律师行业一次性处罚人数最多的记录。业内人士分析，此类投诉可能涉及律所整体执业行为或管理制度问题，而非个别律师的违规行为。事件后续发展值得持续关注。",不推荐,事件缺乏法律科技关联性，内容未涉及法律科技、AI或行业技术创新。,垃圾,
2025-12-18,15,34.0,安全保障义务纠纷裁判要旨与案例解析,https://mp.weixin.qq.com/s/RnEEXZUJRvlaumAgS2a-Bw,熊猫法律星球,"近年来，商场顾客滑倒、酒店客人受伤、景区意外事故等涉及安全保障义务的纠纷案件数量明显上升。**一个安全事故，可能直接引发高额赔偿 ＋ 舆情风险 ＋ 管理责任追责**，这使得相关责任认定成为法律实务中的热点问题。《关于安全保障义务相关纠纷的裁判要旨及案例汇编》系统梳理了相关法律规定和裁判规则。内容涵盖民法典、消费者权益保护法、旅游法等法律中关于安全保障义务的条款，并精选了 68 个典型案例。

这些案例涉及群众性活动组织、疫情防控、运动场所、物业服务等多个领域，展示了法院在认定责任时的考量因素。**很多时候制度写了、提示贴了，但法院还是认定未尽到安全保障义务**，这说明仅靠形式上的防范措施并不足够。汇编中的案例显示，法院会综合考量危险程度、预防成本、行业惯例等因素，判断安全保障义务的合理限度。

例如在老人舞龙猝死案中，法院认定组织者已采取必要措施，因而免除其责任。这份资料对法律从业者具有重要参考价值。

通过分析法院裁判思路，可以帮助企业完善风险防控措施，也为律师处理类似案件提供了实务指引。

随着公众安全意识的提高，这类纠纷可能继续增多，掌握裁判规则显得尤为必要。",一般,内容聚焦传统法律实务，虽有案例参考价值，但缺乏法律科技或技术创新关联。,垃圾,
2025-12-18,17,43.0,知名律师团队集体离职背后的律所管理困境,https://mp.weixin.qq.com/s/QYfCUVtZNVemIStgEtczpQ,智合,"美国知名律师事务所 BLB＆G 近日发生重大人事变动，公司治理部门主管 Jeroen van Kwawegen 带领十余名律师集体离职，将在洛杉矶、纽约和特拉华州设立新律所 JVK Law。

Kwawegen 曾代理特斯拉股东成功挑战马斯克 **560 亿美元**薪酬方案，并促成富国银行 **10 亿美元**和解案，在法律界具有重要影响力。**律师流动本是行业常态，但当核心合伙人携团队集体出走时，往往暴露出律所在管理机制、利益分配或内部文化等方面的深层问题。**事件双方对离职原因各执一词。BLB＆G 称 Kwawegen 因""有损律所最大利益""的不当行为被解雇，而 Kwawegen 则否认所有指控，表示更多同事将加入新律所。

这种高层分裂在国内外律所都不罕见，清华大学法学院研究显示，某中国大所曾因类似事件损失近半律师，严重削弱业务能力。分析指出，律师流动主要受三个因素驱动：利益分配失衡、职业发展受限和内部权力斗争。

传统提成制下，高创收团队常感贡献与回报不匹配；""红圈所""等顶级律所虽提供专业训练，但高压环境和有限晋升空间促使中坚力量出走；决策权争夺和客户资源冲突则可能直接导致组织分裂。**在竞争日益激烈、业务模式不断演变的今天，律所应当如何构建更具凝聚力与可持续性的组织体系，从而真正留住那些关键人才？**为建立长期稳定的人才关系，律所需要从""管理者""转型为""服务者""，通过智能化办公系统、专属行政支持提升工作效率；构建包括品牌建设、知识管理在内的平台赋能体系；设计兼顾个人与团队利益的分配机制。

最终目标是形成律师与律所共同成长的""命运共同体""，而非简单的利润分成关系。在法律服务行业快速变化的背景下，这种组织转型将成为律所持续发展的关键。",推荐,聚焦律所人才流失背后的管理困境，探讨组织转型与平台化建设，对法律科技赋能律所管理具有启示意义。,垃圾,
2025-12-19,11,58.0,企业网络名誉侵权维权策略与法律路径解析,https://mp.weixin.qq.com/s/cc5y5AXkLEQ5tcdlbtGwhg,金杜研究院,"企业可申请法院责令侵权人停止侵害行为，为后续维权争取时间。但禁令保护期限有限，仍需通过诉讼获得最终解决。

诉讼维权虽然程序繁琐，但能提供最全面的救济。企业需注意权利基础的选择：名誉权侵权证明标准较低，但赔偿上限为 **50 万元**；商业诋毁虽可主张 **500 万元**赔偿，但需证明竞争关系等额外要件。同时，企业名誉权受到更高容忍义务的限制，需谨慎评估言论是否构成侵权。

在诉讼中，企业面临损害量化难题。可通过证明传播范围、侵权人收益等方式提高赔偿金额，并注意保留维权支出凭证。值得注意的是，法院酌定赔偿通常不超过 **50 万元**，企业应合理设定维权预期。综合运用各类救济手段，企业才能在复杂网络环境中有效维护商誉权益。",一般,内容聚焦网络名誉侵权维权，法律科技相关性较弱，未涉及技术或创新工具应用。,垃圾,
2025-12-19,13,41.0,汉坤律师事务所迎来刑事合规领域资深合伙人陈宇,https://mp.weixin.qq.com/s/0EJgbqjo7W-VS6IlM5VW7g,红鲤鱼的江湖,"汉坤律师事务所近日引入陈宇作为北京办公室合伙人，重点增强刑事及企业合规业务板块。

这位新合伙人此前在京都律师事务所担任高级合伙人及南京分所主任，拥有二十年刑事法律实务积淀。**""他专注刑事辩护与刑事合规领域，在职务犯罪、证券犯罪及经济犯罪案件方面经验丰富""**的专长，将直接补强汉坤在争议解决领域的服务链条。

陈宇的执业履历显示其擅长处理贪污贿赂、渎职等复杂罪名辩护，业务触角覆盖金融、科技、文娱等多个行业。其代表性案例包括国企融资性贸易系列案件和标的额达 **46 亿元**的央企合同纠纷案，这类重大案件的处理经验对律所高端客户群体具有显著吸引力。**""代表业绩包括某煤炭行业国企与数十家大型国企融资性贸易系列案件""**的实战记录，印证了其在大型企业刑事风险管控方面的专业深度。

此次人事变动发生在企业合规监管趋严的背景下，反映出律师事务所对刑事合规业务增长潜力的预判。陈宇的加盟不仅带来成熟的服务方法论，其处理的标杆性案件积累的行业认知，也将为汉坤在央企、金融机构等领域的客户拓展提供专业支撑。

这种针对性的人才引进策略，体现了专业服务机构对市场需求的快速响应能力。",一般,内容聚焦律所人事变动，法律科技相关性较弱，信息价值有限。,垃圾,
2025-12-19,14,41.0,全国律协新媒体周报：表彰动态与行业指引,https://mp.weixin.qq.com/s/4CiJvIu3sFq0YJHThv2_cg,熊猫法律星球,"新疆律师李鸿斌、贵州律师邓拼等四人因在人民监督员工作中的突出表现，获得最高检与司法部联合通报表扬。**“这是深化人民监督员制度改革十年来，首次针对个人和集体的联合通报表扬”**，凸显了此次表彰的权威性。

上海律协发布《国有企业非公开协议增资法律意见书业务指引》，明确该文件**“旨在实际执业中为律师提供指导和帮助”**，而非强制性规定。北京律协同步解读最高检新规，构建现场、异地、线上“三位一体”的律师阅卷保障机制。

行业交流方面，陕西律协组织 40 余名律师赴港参加法律周活动，浙江律协筹备东南亚投资法律服务论坛。山西律协主办的跨省律师辩论赛进入**八强角逐阶段**，赛事强调“以法为刃，以辩为锋”的专业竞技特色。

吉林、河南等地律协则分别聚焦律所内部管理规范和政府法律顾问制度建设。

这些动态反映出当前律师行业发展的两个重点：一方面通过表彰机制提升职业荣誉感，另一方面通过标准化建设规范执业行为。跨区域法律服务的交流活动也显示出行业对外开放的持续深化。",一般,内容聚焦律协常规动态，法律科技关联度较低，信息价值有限。,垃圾,
2025-12-19,15,51.0,金杜助力安迪苏完成 30 亿元 A 股定向增发,https://mp.weixin.qq.com/s/pSz2hV3ITvrCs7Myzp3d7A,金杜研究院,"蓝星安迪苏股份有限公司完成向特定对象发行 A 股股票，募集资金总额达 **30 亿元**。本次发行价格为每股 7.54 元，共计发行 39，787.80 万股。募集资金将用于整合全球资源，巩固安迪苏在动物营养添加剂领域的国际领先地位。**""本次发行募集资金将有助于安迪苏进一步整合全球资源，巩固在动物营养领域的国际领先地位""**。 

安迪苏作为中国中化旗下企业，是央企""引进来、走出去""战略的标杆案例。这家具有 80 余年发展历史的企业已在全球 110 多个国家为超过 4200 名客户提供动物营养添加剂解决方案。2015 年，安迪苏成为在 A 股上市的国际性企业，展现了其在中国农业现代化发展中的重要作用。 

金杜律师事务所担任本次发行的中国法律顾问，提供了从方案设计到法律文件审阅的全流程服务。项目由合伙人王宁远、陈复安及顾问宋方成牵头，团队在证券发行领域具有丰富经验。**""王宁远律师为客户提供从私募融资、发行上市、上市后收并购的全周期服务""**，这一专业背景为项目顺利实施提供了保障。 

此次定向增发的成功实施，不仅为安迪苏提供了发展资金，也展现了中国资本市场对农业科技企业的支持。金杜在项目中的专业服务，为类似企业资本运作提供了可参考的案例。该交易进一步强化了安迪苏在全球动物营养市场的竞争力，同时也推动了中国农业现代化进程。",不推荐,文章主要聚焦企业融资事件及律所项目成果，缺乏法律科技、AI或合规科技相关内容。,垃圾,
2025-12-19,15,41.0,上海天同与世其律师事务所的分手风波,https://mp.weixin.qq.com/s/gAxDQF_9e5fvrDMZ2VhXZg,熊猫法律星球,"上海天同律师事务所与世其律师事务所的合作始于 **2025 年 4 月**，当时天同分所主任徐菲繁带领 24 人团队进驻世其。然而，短短半年后，双方关系迅速恶化。  
世其官方公告称已进入清算环节，徐菲繁辞职，天同人员正在办理离职。同时，世其启用新官网，否认老官网内容，并称天同转入人员已非其工作人员。

天同方面则通过微信公众号“世间其旅”回应，称其律师多次提交离职申请均被拒绝，且被取消办公权限，导致无法正常执业。他们还指控世其拖欠薪资，并已向司法局、劳动仲裁委等寻求救济。  
双方矛盾进一步激化，天同人员公开指责世其合伙人陈忠楠存在“物化和侮辱女性”“围标串标”“偷逃税款”等行为。**“法律人的战斗，不应总是舍法律武器而不用。”**这场冲突不仅涉及理念不合，还牵扯到法律程序与职业道德的争议。  
双方已诉诸法院，案件即将开庭。这一事件反映了律师行业内部的复杂关系，以及合作破裂时可能引发的法律与道德问题。

目前，双方仍在法律程序中角力，事件的最终结果尚待观察。无论结局如何，这场风波都为行业内的合作与分拆提供了警示，提醒各方在合作初期就应明确权责，避免类似冲突的发生。",一般,事件涉及律所合作纠纷和法律程序，但缺乏对法律科技、AI或行业技术创新的直接关联。,垃圾,
